Tweets,tweet_date,User_location,Clean_tweets,Sentiment,hours,date,location,point,latitude,longitude,altitude
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",27-05-2020 17:23,"Delhi, India",congress parti leader deliber spread neg misinform fake news work nati,Negative,17,27-05-2020,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6517178, 77.2219388, 0.0)",28.6517178,77.2219388,0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",27-05-2020 17:22,,congress parti leader deliber spread neg misinform fake news work nati,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
"RT @SanjayDhotreMP: What an idea??! 
A game to teach you how to dodge #coronavirus when you step out of home. Developed by @IIT_Tirupati, thÂ",27-05-2020 17:22,,what idea game teach dodg #coronaviru step home develop,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
"Difficult times require stronger body and mind. 
Raise your immunity by following the directives issued by the AyusÂ https://t.co/J5odlAtM49",27-05-2020 17:21,"Punjab, India",difficult time requir stronger bodi mind rais immun follow direct issu ayu http odlatm,Negative,17,27-05-2020,"Punjab, India","(30.9293211, 75.5004841, 0.0)",30.9293211,75.5004841,0
"RT @mannkibaat: Difficult times require stronger body and mind. 
Raise your immunity by following the directives issued by the Ayush MinistÂ",27-05-2020 17:20,????,difficult time requir stronger bodi mind rais immun follow direct issu ayush minist,Negative,17,27-05-2020,,,,,
"RT @COVIDNewsByMIB: #IndiaFightsCorona:

??Do what makes you happy. Help others too

#StaySafe #StayAtHome https://t.co/ifpxeaiv8u",27-05-2020 17:19,,#indiafightscorona make happi help other #staysaf #stayathom http ifpxeaiv,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",27-05-2020 17:18,"Banuchhapar, Bettiah, Bihar",congress parti leader deliber spread neg misinform fake news work nati,Negative,17,27-05-2020,,,,,
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",27-05-2020 17:18,,congress parti leader deliber spread neg misinform fake news work nati,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
Fearsome...even if the numbers are fudged...I hope they are at least testing &amp; treating all patients.Â https://t.co/Y32KmiPSqg,27-05-2020 17:16,"Pune, Maharashtra",fearsom even number fudg hope least test treat patient http kmipsqg,Negative,17,27-05-2020,"Pune, Pune City, Pune District, Maharashtra, 411001, India","(18.521428, 73.8544541, 0.0)",18.521428,73.8544541,0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",27-05-2020 17:15,"ÃT: 19.174121,72.834739",congress parti leader deliber spread neg misinform fake news work nati,Negative,17,27-05-2020,"Gazebo at Musical Garden, Kadsiddheshwar Marg, R/C Ward, Zone 4, Mumbai, Mumbai Suburban, Maharashtra, 400067, India","(19.21794115, 72.83253353479122, 0.0)",19.21794115,72.83253353,0
RT @airnewsalerts: Masks?? with faces: Gandhinagar based photo studio in Gujarat is selling masks with faces printed on it so one can be ideÂ,27-05-2020 17:15,,mask face gandhinagar base photo studio gujarat sell mask face print,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
"RT @airnewsalerts: FAKE NEWS ALERT

Ministry of Home Affairs says, a report in a private channel about PM Narendra Modi that he may announcÂ",27-05-2020 17:14,"Gurgaon, India",fake news alert ministri home affair say report privat channel narendra modi announc,Negative,17,27-05-2020,"Gurgaon, Gurugram, Haryana, India","(28.42826235, 77.00270014657752, 0.0)",28.42826235,77.00270015,0
"RT @banakar_meghraj: Corona, locusts, economy, cyclones, gas leak, Pakistan, china, Nepal( seriously?)
The country is dealing too many hardÂ",27-05-2020 17:13,,corona locust economi cyclon leak pakistan china nepal serious countri deal mani hard,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
RT @imchandanRay: Scarcity of blood is a major issue we are currently dealing with in order to fight #COVID19 . This is the least I could dÂ,27-05-2020 17:12,"Attabira, India",scarciti blood major issu current deal order fight #covid thi least could,Negative,17,27-05-2020,"Attabira, Bargarh, Odisha, India","(21.448535149999998, 83.76635505397377, 0.0)",21.44853515,83.76635505,0
"RT @zoamorani: Plasma donation round 2 ! Last time it helped get a patient out of ICU , Note from my Doctor Âhoping all recovered covid patÂ",27-05-2020 17:12,"Panvel, India",plasma donat round last time help patient note doctor hope recov covid,Negative,17,27-05-2020,"Panvel, Raigad, Maharashtra, India","(18.96558885, 73.10288130582491, 0.0)",18.96558885,73.10288131,0
RT @imchandanRay: Scarcity of blood is a major issue we are currently dealing with in order to fight #COVID19 . This is the least I could dÂ,27-05-2020 17:12,"Orissa, India",scarciti blood major issu current deal order fight #covid thi least could,Negative,17,27-05-2020,"Odisha, India","(20.5431241, 84.6897321, 0.0)",20.5431241,84.6897321,0
"RT @BJP4India: Congress party and its leaders are deliberately spreading negativity, misinformation, fake news and working against the natiÂ",27-05-2020 17:10,"New Delhi, India",congress parti leader deliber spread neg misinform fake news work nati,Negative,17,27-05-2020,"New Delhi, Delhi, India","(28.6141793, 77.2022662, 0.0)",28.6141793,77.2022662,0
RT @imchandanRay: Scarcity of blood is a major issue we are currently dealing with in order to fight #COVID19 . This is the least I could dÂ,27-05-2020 17:10,,scarciti blood major issu current deal order fight #covid thi least could,Negative,17,27-05-2020,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0
